Date,Category,Description,Amount
2024-01-29,Groceries,Groceries expense,225.05
2024-03-03,Transport,Transport expense,50.47
2024-01-27,Utilities,Utilities expense,181.24
2024-01-09,Groceries,Groceries expense,37.17
2024-02-29,Groceries,Groceries expense,172.76
2024-05-19,Education,Education expense,73.93
2024-05-30,Healthcare,Healthcare expense,244.73
2024-01-02,Entertainment,Entertainment expense,212.46
2024-03-28,Healthcare,Healthcare expense,55.09
2024-03-27,Utilities,Utilities expense,36.9
2024-01-25,Dining,Dining expense,255.77
2024-03-08,Groceries,Groceries expense,221.62
2024-05-17,Utilities,Utilities expense,292.2
2024-04-06,Utilities,Utilities expense,170.09
2024-04-02,Transport,Transport expense,214.33
2024-01-12,Transport,Transport expense,234.19
2024-01-21,Transport,Transport expense,261.28
2024-04-07,Healthcare,Healthcare expense,141.49
2024-04-03,Entertainment,Entertainment expense,117.35
2024-02-23,Healthcare,Healthcare expense,213.53
2024-01-19,Entertainment,Entertainment expense,164.9
2024-03-03,Entertainment,Entertainment expense,144.06
2024-03-10,Transport,Transport expense,208.54
2024-01-15,Transport,Transport expense,248.32
2024-03-21,Education,Education expense,87.64
2024-02-24,Dining,Dining expense,71.66
2024-05-07,Education,Education expense,266.56
2024-04-27,Entertainment,Entertainment expense,86.82
2024-03-04,Healthcare,Healthcare expense,226.63
2024-04-19,Education,Education expense,114.98
2024-02-05,Rent,Rent expense,36.36
2024-01-13,Utilities,Utilities expense,54.32
2024-02-10,Education,Education expense,182.96
2024-04-08,Education,Education expense,182.81
2024-04-29,Healthcare,Healthcare expense,291.61
2024-01-03,Utilities,Utilities expense,207.7
2024-05-17,Healthcare,Healthcare expense,232.89
2024-03-28,Utilities,Utilities expense,95.12
2024-02-10,Rent,Rent expense,10.94
2024-03-08,Entertainment,Entertainment expense,157.23
2024-01-28,Healthcare,Healthcare expense,254.08
2024-05-09,Transport,Transport expense,54.32
2024-02-11,Groceries,Groceries expense,183.69
2024-05-05,Groceries,Groceries expense,42.44
2024-04-02,Healthcare,Healthcare expense,79.44
2024-03-02,Utilities,Utilities expense,34.84
2024-05-04,Utilities,Utilities expense,293.62
2024-05-16,Entertainment,Entertainment expense,47.23
2024-05-01,Entertainment,Entertainment expense,86.87
2024-04-18,Transport,Transport expense,279.38
2024-02-21,Healthcare,Healthcare expense,125.71
2024-04-05,Rent,Rent expense,270.89
2024-04-25,Utilities,Utilities expense,81.89
2024-01-17,Dining,Dining expense,16.1
2024-05-21,Transport,Transport expense,180.65
2024-01-02,Utilities,Utilities expense,215.27
2024-01-16,Transport,Transport expense,29.55
2024-01-09,Dining,Dining expense,30.55
2024-03-01,Healthcare,Healthcare expense,204.0
2024-02-24,Entertainment,Entertainment expense,219.77
2024-05-26,Rent,Rent expense,80.47
2024-05-01,Education,Education expense,65.22
2024-01-25,Education,Education expense,112.75
2024-04-15,Rent,Rent expense,260.51
2024-01-14,Utilities,Utilities expense,27.58
2024-03-27,Utilities,Utilities expense,82.11
2024-02-18,Rent,Rent expense,50.65
2024-02-16,Healthcare,Healthcare expense,144.16
2024-01-20,Rent,Rent expense,244.33
2024-05-20,Utilities,Utilities expense,24.67
2024-05-18,Groceries,Groceries expense,291.01
2024-03-01,Entertainment,Entertainment expense,127.86
2024-05-03,Transport,Transport expense,260.75
2024-01-16,Entertainment,Entertainment expense,119.9
2024-04-09,Healthcare,Healthcare expense,278.69
2024-04-26,Healthcare,Healthcare expense,132.67
2024-05-22,Rent,Rent expense,54.89
2024-03-16,Transport,Transport expense,290.93
2024-05-28,Groceries,Groceries expense,226.91
2024-01-15,Groceries,Groceries expense,179.41
2024-05-08,Entertainment,Entertainment expense,26.5
2024-05-10,Utilities,Utilities expense,256.89
2024-01-18,Utilities,Utilities expense,205.81
2024-03-01,Education,Education expense,44.77
2024-05-25,Transport,Transport expense,177.89
2024-01-11,Utilities,Utilities expense,131.58
2024-05-29,Dining,Dining expense,281.06
2024-02-22,Dining,Dining expense,79.22
2024-04-11,Entertainment,Entertainment expense,204.79
2024-03-17,Rent,Rent expense,101.69
2024-01-19,Groceries,Groceries expense,142.9
2024-05-24,Utilities,Utilities expense,31.25
2024-02-24,Healthcare,Healthcare expense,48.41
2024-03-30,Utilities,Utilities expense,264.99
2024-04-04,Healthcare,Healthcare expense,55.75
2024-05-19,Healthcare,Healthcare expense,187.39
2024-05-15,Groceries,Groceries expense,203.68
2024-05-21,Healthcare,Healthcare expense,280.21
2024-01-27,Entertainment,Entertainment expense,86.7
2024-01-28,Entertainment,Entertainment expense,88.98
